field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Doanh thu bán hàng và cung cấp dịch vụ__1,10961929700091.0,10189067019482.0,7299931189964.0,6795512334046.0,5959707636582.0,6396914477362.0,5863191770258.0,5285937484946.0,4838039797927.0,5538849128867.0,4047660722223.0,2570934180986.0,1781678693218.0,1492225410047.0,987778036424.0,604057183106.0,,,,,
. Các khoản giảm trừ doanh thu__1,149135106950.0,167483513799.0,113174016215.0,121206863230.0,104242501087.0,140991882568.0,71799240970.0,167166736924.0,133759761584.0,764498345131.0,129674769677.0,53156854782.0,67148820964.0,53058932249.0,28491012608.0,20914121198.0,,,,,
. Doanh thu thuần về bán hàng và cung cấp dịch vụ__1,10812794593141.0,10021583505683.0,7186757173749.0,6674305470816.0,5855465135495.0,6255922594794.0,5791392529288.0,5118770748022.0,4704280036343.0,4774350783736.0,3917985952546.0,2517777326204.0,1714529872254.0,1439166477798.0,959287023816.0,583143061908.0,,,,,
. Giá vốn hàng bán__1,8959835563715.0,7463897833139.0,6020208085226.0,5595581185533.0,5091990790863.0,5440988453186.0,5090939741579.0,4530703274465.0,4194663964427.0,4207745752626.0,3468681249839.0,2171832483774.0,1521339628783.0,1283251155318.0,873942686115.0,543364874930.0,,,,,
. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ__1,1852959029426.0,2557685672544.0,1166549088523.0,1078724285283.0,763474344632.0,814934141608.0,700452787709.0,588067473557.0,509616071916.0,566605031110.0,449304702707.0,345944842430.0,193190243471.0,155915322480.0,85344337701.0,39778186978.0,,,,,
. Doanh thu hoạt động tài chính__1,25013151689.0,29935190655.0,27480285000.0,40781927222.0,66922417993.0,44142951647.0,17386001398.0,17791336498.0,30808322702.0,57239886591.0,68326052178.0,20225434134.0,5939341333.0,4604486127.0,1398618630.0,484969329.0,,,,,
. Chi phí tài chính__1,199009893014.0,319611291711.0,294872857938.0,192635924873.0,119958870054.0,112795922720.0,123034853426.0,122944276822.0,126066660776.0,141679488592.0,139681068232.0,75987835981.0,38622908487.0,51833402899.0,23977300445.0,9729141879.0,,,,,
- Trong đó: Chi phí lãi vay__1,182283276266.0,309819328258.0,-281784606072.0,-188946659079.0,,110901027505.0,94146779399.0,117394205455.0,117662773757.0,138290408699.0,120666280846.0,70612379390.0,38622908487.0,46384750652.0,22053611116.0,9103546318.0,,,,,
". Phần lãi lỗ hoặc lỗ trong công ty liên doanh, liên kết__1",4904603405.0,929362507.0,1249765000.0,,,,,,,,,,,,,,,,,,
. Chi phí bán hàng__1,405236274419.0,380425428122.0,267546339711.0,258384611438.0,210292556195.0,182509153700.0,148137106928.0,110836389729.0,92029872259.0,80926115192.0,65520703794.0,45221364579.0,34027029536.0,30281380957.0,22228261887.0,14699921177.0,,,,,
. Chi phí quản lý doanh nghiệp__1,344480753443.0,339149837912.0,293922671278.0,281328855897.0,224532661301.0,191919370188.0,164055888832.0,132572721606.0,107654387035.0,112271397477.0,92667363459.0,54953166266.0,36502295977.0,20378652978.0,15833937704.0,8066665530.0,,,,,
. Lợi nhuận thuần từ hoạt động kinh doanh__1,934149863644.0,1549363667961.0,338937269596.0,387156820297.0,275612675075.0,371852646647.0,282610939921.0,239505421898.0,214673474548.0,288967916440.0,219761619400.0,190007909738.0,89977350804.0,58026371773.0,24703456295.0,7767427721.0,,,,,
. Thu nhập khác__1,47120526924.0,5749436871.0,6690778889.0,14617568062.0,9953007830.0,151299350329.0,3039636862.0,95057306810.0,84614465600.0,44564014733.0,39226060289.0,31053497189.0,8270728669.0,8532580593.0,5114134890.0,3952904371.0,,,,,
. Chi phí khác__1,1585776115.0,1139770529.0,576601928.0,8415674046.0,6765542868.0,400905985.0,2033366403.0,85406400399.0,58719561491.0,27911945863.0,21227738901.0,18682911926.0,6693773963.0,5640724592.0,2812102885.0,1642209336.0,,,,,
. Lợi nhuận khác__1,45534750809.0,4609666342.0,6114176961.0,6201894016.0,3187464962.0,150898444344.0,1006270459.0,9650906411.0,25894904109.0,16652068870.0,17998321388.0,12370585263.0,1576954706.0,2891856001.0,2302032005.0,2310695035.0,,,,,
. Tổng lợi nhuận kế toán trước thuế__1,979684614453.0,1553973334303.0,345051446557.0,393358714313.0,278800140037.0,522751090991.0,283617210380.0,249156328309.0,240568378657.0,305619985310.0,237759940788.0,202378495001.0,91554305510.0,60918227774.0,27005488300.0,10078122756.0,,,,,
. Chi phí thuế TNDN hiện hành__1,150126680007.0,153677301975.0,39921204333.0,33123360160.0,78694917947.0,71532464645.0,30781639175.0,43383224188.0,49418714325.0,55881370463.0,17329666533.0,26077809442.0,9857805594.0,6764218850.0,3443158611.0,,,,,,
. Chi phí thuế TNDN hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế thu nhập doanh nghiệp__1,829557934446.0,1400296032328.0,305130242224.0,360235354153.0,200105222090.0,451218626346.0,252835571205.0,205773104121.0,191149664332.0,249738614847.0,220430274255.0,176300685559.0,81696499916.0,54154008924.0,23562329689.0,10078122756.0,,,,,
. Lợi ích của cổ đông thiểu số__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế của công ty mẹ__1,829557934446.0,1400296032328.0,305130242224.0,360235354153.0,200105222090.0,451218626346.0,252835571205.0,205773104121.0,191149664332.0,249738614847.0,220430274255.0,176300685559.0,81696499916.0,54154008924.0,23562329689.0,10078122756.0,,,,,
. Lãi cơ bản trên cổ phiếu__1,7199.0,13366.0,3349.0,4350.0,2416.0,5993.0,4030.0,3280.0,3142.0,5221.0,5332.0,6928.0,3210.0,5731.0,2493.0,1487.0,,,,,
. Lãi suy giảm trên cổ phiếu__1,,13366.0,3349.0,4350.0,2416.0,5993.0,,,,,,,,,,,,,,,
. Cổ tức__1,,,,,,,,,,,,,,,,,,,,,
. Phần lãi (lỗ thuần) trong công ty liên doanh/liên kết__1,,,,,,,,,,,,,,,,,,,,,
I - TÀI SẢN NGẮN HẠN__1,5637467418086.0,4653090308712.0,4377863152608.0,3771110157571.0,3327953697400.0,3228355446050.0,3118937874056.0,2976238692579.0,3016460606051.0,2741605677587.0,2449793352107.0,1303858717527.0,845825718057.0,531615721442.0,420152786899.0,213035201980.0,,,,,
. Tiền và các khoản tương đương tiền__1,200057089304.0,232603906243.0,165286575787.0,150005137485.0,225860064701.0,279750579921.0,146261183367.0,280739533245.0,137189145674.0,551972480142.0,490322035548.0,213147169656.0,387042028243.0,133181029362.0,64407135824.0,15513578873.0,,,,,
..Tiền__1,197212389304.0,232603906243.0,165286575787.0,150005137485.0,155860064701.0,279750579921.0,116261183367.0,57739533245.0,121089542182.0,136972480142.0,66967936248.0,213147169656.0,387042028243.0,74367649362.0,64407135824.0,15513578873.0,,,,,
..Các khoản tương đương tiền__1,2844700000.0,,,,70000000000.0,,30000000000.0,223000000000.0,16099603492.0,415000000000.0,423354099300.0,,,58813380000.0,,,,,,,
. Các khoản đầu tư tài chính ngắn hạn__1,577082813041.0,537359256478.0,484800574115.0,378373060065.0,412960275514.0,369523819498.0,273332627489.0,88000555552.0,406222775000.0,,,,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,577082813041.0,537359256478.0,484800574115.0,378373060065.0,412960275514.0,,273332627489.0,,,,,,,,,,,,,,
. Các khoản phải thu ngắn hạn__1,583718164395.0,450942177264.0,410975729367.0,346280162569.0,568369376246.0,595261641829.0,425348123473.0,418439125791.0,517159773932.0,540213655407.0,364974178068.0,398107832234.0,87577435717.0,173188867318.0,43876567965.0,32782557833.0,,,,,
..Phải thu khách hàng__1,319928971206.0,212526325870.0,211690746088.0,150319692022.0,377433670840.0,374679675871.0,296400072023.0,335191044826.0,424083031901.0,440012898322.0,201327263786.0,233600749422.0,31264493795.0,54577373532.0,29877881827.0,19327445671.0,,,,,
..Trả trước cho người bán__1,180498156298.0,163264413730.0,106159192629.0,123133906708.0,107371027522.0,120517664578.0,57356490783.0,75332734273.0,81794410513.0,110972058993.0,138741406447.0,138467866081.0,55351601086.0,117263346404.0,13814015449.0,12586121815.0,,,,,
.. Phải thu nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu theo tiến độ Kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Các khoản phải thu khác__1,83291036891.0,75151437664.0,93125790650.0,72826563839.0,83564677884.0,100064301380.0,71591560667.0,7915346692.0,11282331518.0,4228698092.0,24905507835.0,26039216731.0,961340836.0,1348147382.0,184670689.0,868990347.0,,,,,
.. Dự phòng phải thu ngắn hạn khó đòi__1,,,,,,,,,,-15000000000.0,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,
. Hàng tồn kho__1,4203442852223.0,3348892720551.0,3128239779920.0,2701421140647.0,2037872432223.0,1937658395282.0,2248878404178.0,2142649910396.0,1884556518753.0,1614068815745.0,1542081935357.0,667400608977.0,344506524155.0,214010802506.0,297124215097.0,155051036175.0,,,,,
.. Hàng tồn kho__1,4203442852223.0,3348892720551.0,3128239779920.0,2701421140647.0,2043872432223.0,1937658395282.0,2248878404178.0,2142649910396.0,1884556518753.0,,1542081935357.0,667400608977.0,344506524155.0,214010802506.0,297124215097.0,155051036175.0,,,,,
.. Dự phòng giảm giá hàng tồn kho__1,,,,,-6000000000.0,,,,,,,,,,,,,,,,
. Tài sản ngắn hạn khác__1,73166499123.0,83292248176.0,188560493419.0,195030656805.0,82891548716.0,46161009520.0,25117535549.0,46409567595.0,71332392692.0,35350726293.0,52415203134.0,25203106660.0,26699729942.0,11235022256.0,14744868013.0,9688029099.0,,,,,
.. Chi phí trả trước ngắn hạn__1,20679090563.0,12442812541.0,22617637950.0,48417845755.0,6075777332.0,9771811726.0,5516367249.0,4751819053.0,3357552571.0,1941626815.0,2551792963.0,2476697915.0,1283038754.0,575292975.0,999055843.0,2749652407.0,,,,,
.. Thuế GTGT được khấu trừ__1,42711312098.0,64445462719.0,157551030549.0,143213006458.0,69475639604.0,33201430014.0,14589546584.0,1265213184.0,16523794098.0,4021384270.0,10331346954.0,2251465174.0,687368434.0,504271664.0,3806317.0,3703674982.0,,,,,
.. Thuế và các khoản khác phải thu Nhà nước__1,5095387535.0,,,,,8084172.0,8084172.0,8084172.0,,,3058882.0,146763648.0,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Tài sản ngắn hạn khác__1,4680708927.0,6403972916.0,8391824920.0,3399804592.0,7340131780.0,3179683608.0,5003537544.0,40384451186.0,51451046023.0,29387715208.0,39529004335.0,20328179923.0,24729322754.0,10155457617.0,13742005853.0,3234701710.0,,,,,
II - TÀI SẢN DÀI HẠN__1,5225086874069.0,5448180986529.0,5214061770392.0,4578903291616.0,3661262259814.0,2300916377409.0,1496272853026.0,1244123005933.0,997336545012.0,808899437785.0,752068352892.0,846344937798.0,548763306935.0,280928230759.0,199221200884.0,144868589385.0,,,,,
. Các khoản phải thu dài hạn__1,16136866468.0,14103866468.0,13866650588.0,3085593000.0,6573538999.0,5951779999.0,5446121000.0,,,,,,,,,,,,,,
.. Phải thu dài hạn của khách hàng__1,,,,,,,5446121000.0,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Vốn kinh doanh ở đơn vị trực thuộc__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn khác__1,16136866468.0,14103866468.0,13866650588.0,3085593000.0,6573538999.0,5951779999.0,,,,,,,,,,,,,,,
.. Dự phòng phải thu khó đòi__1,,,,,,,,,,,,,,,,,,,,,
. Tài sản cố định__1,4581980825706.0,4455469171562.0,4560876876636.0,3225441438338.0,2528553445997.0,1400713615637.0,1166313800521.0,1217054610471.0,977475046232.0,788769563983.0,731450701204.0,824472484135.0,523610232926.0,265066907787.0,185834123121.0,139447443688.0,,,,,
.. Tài sản cố định hữu hình__1,4176382903859.0,3934882197498.0,3952077043860.0,2802420893821.0,2202375023402.0,1135888668281.0,898255375494.0,866681028014.0,851967553229.0,706183848451.0,670305180087.0,579714290447.0,368926003361.0,218993554672.0,181299518296.0,133195525617.0,,,,,
- Nguyên giá__1,6322167278075.0,5615332662752.0,5201455262018.0,3837523103796.0,3042616758542.0,1916005822696.0,1533094314920.0,1371359941227.0,1248877504990.0,1006588571047.0,896224833860.0,742197501540.0,502167274921.0,314690462787.0,249959279242.0,182694711674.0,,,,,
- Giá trị hao mòn luỹ kế__1,-2145784374216.0,-1680450465254.0,-1249378218158.0,-1035102209975.0,-840241735140.0,-780117154415.0,-634838939426.0,-504678913213.0,-396909951761.0,-300404722596.0,-225919653773.0,-162483211093.0,-133241271560.0,-95696908115.0,-68659760946.0,-49499186057.0,,,,,
.. Tài sản cố định thuê tài chính__1,405597921847.0,520586974064.0,608799832776.0,423020544517.0,326178422595.0,264824947356.0,268058425027.0,192743249919.0,51720690501.0,,,,,,,,,,,,
- Nguyên giá__2,576317109341.0,686735194273.0,756874248265.0,557969321977.0,444127339134.0,370828386074.0,320989635113.0,209517057577.0,53137677346.0,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__2,-170719187494.0,-166148220209.0,-148074415489.0,-134948777460.0,-117948916539.0,-106003438718.0,-52931210086.0,-16773807658.0,-1416986845.0,,,,,,,,,,,,
.. Tài sản cố định vô hình__1,,,,,,,,,,1567261902.0,1601909250.0,1636556598.0,18115792064.0,,,15394999.0,,,,,
- Nguyên giá__3,,,,,,,,,,1732367401.0,1732367401.0,1732367401.0,18176955519.0,,153950000.0,153950000.0,,,,,
- Giá trị hao mòn luỹ kế__3,,,,,,,,,,-165105499.0,-130458151.0,-95810803.0,-61163455.0,,-153950000.0,-138555001.0,,,,,
. Bất động sản đầu tư__1,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá__4,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn luỹ kế__4,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,467927575923.0,778930712642.0,499933115323.0,1213348243514.0,966748412948.0,857733716688.0,306733618251.0,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,467927575923.0,778930712642.0,499933115323.0,1213348243514.0,966748412948.0,857733716688.0,306733618251.0,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,105317423994.0,102412820589.0,86483458082.0,87233693082.0,87233693082.0,20600000000.0,600000000.0,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,3605000000.0,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",105317423994.0,102412820589.0,86483458082.0,87233693082.0,87233693082.0,20000000000.0,,,,,,,,,9431200000.0,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,600000000.0,600000000.0,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,53724181978.0,97264415268.0,52901669763.0,49794323682.0,72153168788.0,15917265085.0,17179313254.0,21159434093.0,12770745133.0,9328704263.0,8634689874.0,8819696191.0,6427324262.0,3931622972.0,350877763.0,3411145697.0,,,,,
. Chi phí trả trước dài hạn__1,53724181978.0,97264415268.0,52901669763.0,48612531433.0,69789584259.0,12371888276.0,12452144165.0,15713313093.0,12770745133.0,9328704263.0,8634689874.0,8819696191.0,6427324262.0,3931622972.0,350877763.0,3411145697.0,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,5446121000.0,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,1181792249.0,2363584529.0,3545376809.0,4727169089.0,5908961369.0,7090753647.0,8272545922.0,9454338197.0,10636130472.0,11817922747.0,,,,,,,,
Tổng cộng tài sản__1,10862554292155.0,10101271295241.0,9591924923000.0,8350013449187.0,6989215957214.0,5529271823459.0,4615210727082.0,4220361698512.0,4013797151063.0,3550505115372.0,3201861704999.0,2150203655325.0,1394589024992.0,812543952201.0,619373987783.0,357903791365.0,,,,,
I - NỢ PHẢI TRẢ__1,6176631172021.0,5894311104553.0,6565967444140.0,5603485031551.0,4486599351977.0,3190129918957.0,2668763190851.0,2390099865524.0,2291138632781.0,2174183246443.0,1970716265307.0,1374876801212.0,771581014493.0,510820137620.0,479004063344.0,276183848815.0,,,,,
. Nợ ngắn hạn__1,5171698802616.0,4254585526684.0,4819677610567.0,4075302630398.0,3462415430265.0,2629726611851.0,2410964470019.0,2214923420923.0,2160103708517.0,2025079752628.0,1458560660352.0,940977224341.0,538980442582.0,348338815021.0,405365921964.0,223830435195.0,,,,,
.. Phải trả người bán ngắn hạn__1,1392462971688.0,1012195989287.0,911471772009.0,923066017552.0,564133761601.0,318465823911.0,533868654105.0,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,587892997501.0,551700415109.0,409518549142.0,207002414629.0,132251259340.0,146773275335.0,18943829017.0,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,79595359969.0,139469312438.0,16947122909.0,28615521027.0,64929269084.0,43162156602.0,30261135514.0,50119681767.0,65416143782.0,55062394815.0,37362106980.0,73593207556.0,11951159036.0,9549001591.0,10397574630.0,281143992.0,,,,,
.. Phải trả người lao động__1,108528018556.0,107242325439.0,68008963209.0,51473030174.0,61932931356.0,59356318445.0,36330229654.0,30944486013.0,31156827465.0,25108498329.0,39043399957.0,13308480240.0,10810260458.0,6916444193.0,2902989215.0,2713527933.0,,,,,
.. Chi phí phải trả ngắn hạn__1,76535166955.0,63513690868.0,100928013516.0,50130284201.0,93182143087.0,44992869107.0,104281720548.0,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,237509235531.0,200407630424.0,31895577346.0,58155368506.0,234542842167.0,243673194072.0,158578359433.0,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,2599459320679.0,2157941495382.0,3237818548314.0,2710566910187.0,2293804036508.0,1758904536941.0,1509505245347.0,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,46293084122.0,,,,,,,,,,1277498003.0,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",89715731737.0,22114667737.0,43089064122.0,,17639187122.0,14398437438.0,19195296401.0,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,1004932369405.0,1639725577869.0,1746289833573.0,1528182401153.0,1024183921712.0,560403307106.0,257798720832.0,175176444601.0,131034924264.0,149103493815.0,512155604955.0,433899576871.0,232600571911.0,162481322599.0,73638141380.0,52353413620.0,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,317697452372.0,396206152278.0,331059870787.0,241022410774.0,10881637600.0,5245555800.0,8842868300.0,7284668300.0,5499328000.0,3999987500.0,2177242000.0,1732485000.0,31315678880.0,22336685105.0,295000000.0,218600000.0,,,,,
. Vay và nợ thuê tài chính dài hạn__1,687234917033.0,1243519425591.0,1415229962786.0,1287159990379.0,1013302284112.0,555157751306.0,248955852532.0,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,
